ID,FirstName,LastName,Email,Phone,Country,Date,Notes
1,Mary,White,example1@email.com,+1-724-7139, Australia ,2021-03-07,
2, frank , Brown ,example1@email.com,+1-605-2569, Germany ,2/19/2020,
3,Frank, Johnson ,,+1-546-8384,United States,10/9/2022,important
4,bob,Lewis,example3@email.com,+1-563-3990, Untied States ,9/23/2020,Review
5, Charlie ,Doe,,+1-598-6364,Germany,2022-05-01,N/A
6, Eve ,Lewis,example2@email.com,+1-405-8301,Australia,1/3/2020,N/A
7, Mary ,Brown,example1@email.com,+1-547-3782,Canada,2023-02-17,N/A
8, Diana ,Davis,example2@email.com,+1-673-4221, Germany ,12/22/2021,N/A
9,eve,Clark,example2@email.com,+1-468-5798,United Kingdom,2022-05-16,N/A
10, Eve ,Lewis,example3@email.com,+1-194-6106, United States ,2/25/2020,important
11,Diana,Doe,,+1-222-8894,Australia,10/25/2022,N/A
12,John,Johnson,example2@email.com,+1-738-7695,United States,2023-06-18,Follow up
13, Mary ,Davis,example4@email.com,+1-315-2110,Untied States,4/9/2021,N/A
14,Bob,Johnson,example3@email.com,+1-255-6299,Germany,2021-02-17,Review
15,John,Doe,example2@email.com,+1-520-7244,Australia,2022-04-06,important
16,Eve,Smith,example3@email.com,+1-163-1485,Untied States,2021-12-20,Check
17, Alice ,White,,+1-197-4603,Germany,2023-11-02,N/A
18, Frank ,Smith,example1@email.com,,Australia,2022-10-20,N/A
19, john ,Doe,example4@email.com,+1-577-3267, Canada ,2020-12-13,Check
20, Frank ,White,example2@email.com,+1-390-3539,Canada,8/2/2023,Check
21,Charlie,Lewis,example3@email.com,+1-590-6908,Germany,2020-02-13,Follow up
22,Eve, Davis ,example3@email.com,+1-691-6087,United States,2020-06-19,Check
23, Eve ,Johnson,,+1-359-8551,Germany,6/12/2021,Review
24,frank, Johnson ,,+1-678-1264, Germany ,2020-03-24,
25,John,Clark,example2@email.com,+1-446-5896,Australia,2021-09-13,Follow up
26,Eve,Clark,example2@email.com,+1-603-4211, United States ,7/13/2023,important
27, frank ,White,example2@email.com,+1-968-8744, Germany ,9/7/2022,N/A
28,Diana,Smith,example3@email.com,+1-958-2265,Australia,4/23/2022,Check
29, Mary , Davis ,example2@email.com,+1-684-3312,Australia,4/6/2023,important
30,Bob, White ,,+1-312-7274,Australia,11/20/2020,important
31,Alice, Brown ,example2@email.com,+1-526-9405,United States,2023-12-07,important
32,Diana,Doe,example3@email.com,,Untied States,2021-05-21,Check
33, Alice ,Davis,,, United States ,12/27/2022,Check
34,Mary, White ,,+1-240-4504, Germany ,9/19/2021,Follow up
35,alice,Davis,example2@email.com,+1-891-7486,Untied States,5/12/2022,Follow up
36, Bob ,Smith,example4@email.com,+1-875-8897,Canada,10/27/2023,Review
37,Bob, Doe ,example2@email.com,+1-138-6059,Canada,3/1/2022,
38, john , Doe ,example1@email.com,+1-590-5758, Germany ,2023-11-02,Check
39,Diana, Clark ,,+1-292-8246,United Kingdom,1/23/2020,Review
40, bob ,Clark,example2@email.com,+1-807-2488, United States ,4/20/2021,Review
41,john,Brown,example2@email.com,,Germany,9/13/2020,Check
42,John,Lewis,example1@email.com,+1-961-6418,Untied States,2021-07-06,Check
43,Diana, Brown ,example1@email.com,+1-949-4328,United Kingdom,9/26/2023,Follow up
44,Charlie,White,example3@email.com,+1-486-4195,Germany,5/22/2021,
45,Bob, Smith ,example2@email.com,+1-642-6340, Canada ,2022-08-07,Check
46,Diana,Brown,,+1-775-7245,Australia,7/12/2020,Review
47,Bob,Johnson,example1@email.com,+1-815-3601,Canada,2023-01-05,
48, john ,Doe,example3@email.com,+1-251-8817, Canada ,1/18/2023,N/A
49,bob,Lewis,example2@email.com,+1-331-8928, United Kingdom ,9/8/2023,N/A
50,charlie, Brown ,example4@email.com,+1-572-7875,United Kingdom,9/25/2023,Follow up
51,Bob,Johnson,example1@email.com,+1-117-3411,Germany,9/28/2020,
52, Charlie ,Davis,,+1-278-9887, Canada ,2022-09-01,Review
53, Mary ,Clark,example4@email.com,+1-447-9372, United States ,5/25/2020,
54,Diana, Davis ,example1@email.com,+1-472-1657, Australia ,5/12/2022,Check
55,Alice,Brown,example2@email.com,+1-374-3957,Canada,5/18/2021,Check
56,frank,Clark,example3@email.com,+1-371-2781,Australia,2020-07-19,N/A
57, Charlie , Clark ,example3@email.com,+1-769-1199,Untied States,9/25/2021,Review
58, Bob ,Lewis,example2@email.com,+1-941-7504, United States ,9/16/2023,important
59, John ,Clark,example3@email.com,, United Kingdom ,9/5/2020,N/A
60,Eve, Brown ,,+1-915-1581,United Kingdom,1/16/2021,Check
61, eve ,Lewis,example2@email.com,+1-851-3310, Australia ,2023-05-01,N/A
62,alice, White ,example2@email.com,+1-108-4831,Canada,2023-08-08,N/A
63,John,Brown,example1@email.com,+1-478-6226, Australia ,8/13/2021,Follow up
64,Bob,Doe,example1@email.com,+1-969-6471,Australia,9/23/2021,Check
65,bob, Doe ,example1@email.com,,Untied States,11/23/2021,
66,eve, Clark ,example2@email.com,+1-158-1461,Canada,6/24/2023,
67,Charlie,White,example4@email.com,+1-611-4194, Australia ,7/14/2022,Follow up
68, Diana , Davis ,example1@email.com,+1-996-1409, United States ,4/25/2022,Check
69,eve,Davis,example4@email.com,,Australia,2020-05-06,
70,Mary, Doe ,example4@email.com,+1-354-7766,United Kingdom,2023-02-15,important
71,Diana,Johnson,example1@email.com,+1-554-8073,Australia,4/24/2021,Review
72,Charlie,Doe,example3@email.com,+1-442-2595,United Kingdom,4/26/2021,Check
